id;title;description;created_at;updated_at;assigned_at;processed_at;observation;status;created_by;updated_by;delai;relance;accuse;reponse;date_accuse;date_reponse
1;architect;lavender;2020-07-12T15:19:26;2020-07-12T14:12:18;2020-07-13T01:37:51;2020-07-12T14:48:56;invoice;Encours;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;15389;89743;true;false;2020-07-13;2020-07-12
2;generate;Personal Loan Account;2020-07-12T20:06:42;2020-07-12T13:23:27;2020-07-13T07:50:17;2020-07-12T23:03:20;incentivize bi-directional Tunnel;Ouvert;Jewelery monitoring Infrastructure;Gorgeous ROI implement;25975;69571;true;false;2020-07-12;2020-07-12
3;Integration;Bond Markets Units European Composite Unit (EURCO);2020-07-13T08:12:24;2020-07-12T10:14:19;2020-07-12T13:36:18;2020-07-13T08:33:26;RSS Borders;Traite;AGP circuit;optical deposit;85058;15734;true;false;2020-07-12;2020-07-13
4;Quality-focused Quality Generic;override Salad XSS;2020-07-12T13:06:35;2020-07-12T22:51:45;2020-07-13T09:19:54;2020-07-12T12:56:10;Music copying Reduced;Ouvert;Adaptive black;Money Market Account;98118;55984;true;false;2020-07-13;2020-07-13
5;Beauty synthesizing;Gorgeous;2020-07-12T15:46:09;2020-07-13T09:35:29;2020-07-12T21:02:36;2020-07-12T23:39:36;copying benchmark Sausages;Ouvert;Paradigm;application;6735;70857;true;false;2020-07-13;2020-07-13
6;Small SCSI;Technician Architect calculate;2020-07-13T06:54:42;2020-07-12T19:46:06;2020-07-12T15:50:08;2020-07-13T00:49:38;Small Fresh Gloves;Encours;Grocery Ball Wells;partnerships Terrace Hat;79480;82592;true;false;2020-07-13;2020-07-12
7;synthesize;deposit;2020-07-13T03:28:32;2020-07-12T13:12:02;2020-07-12T11:12:48;2020-07-12T10:54:59;Grocery;Traite;compress methodologies;e-services;89409;72442;false;true;2020-07-13;2020-07-13
8;THX;efficient RSS Neck;2020-07-12T10:47:50;2020-07-13T06:12:43;2020-07-13T05:34:52;2020-07-13T05:08:42;Licensed Cheese Summit;Ouvert;4th generation;Principal Savings Account online;48152;123;false;true;2020-07-13;2020-07-12
9;Mandatory Hawaii Networked;Handcrafted Rubber Gloves;2020-07-13T03:34:41;2020-07-12T19:52:03;2020-07-12T14:53:33;2020-07-12T23:38:09;Architect;Ouvert;Jordanian Dinar;Walks Credit Card Account;29166;65698;true;true;2020-07-12;2020-07-12
10;Lead sensor bypass;Configurable;2020-07-12T10:21:15;2020-07-12T20:19:56;2020-07-13T06:36:50;2020-07-13T09:35:34;Borders magenta;Ouvert;Sleek Granite Computer;revolutionary Sports Fantastic;39692;32209;false;true;2020-07-12;2020-07-13
