id;title;description;created_at;updated_at;assigned_at;processed_at;observation;status;created_by;updated_by;delai;relance;accuse;reponse;date_accuse;date_reponse
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2020-07-12T08:48:22;2020-07-12T20:27:44;2020-07-12T17:04:13;2020-07-12T10:04:17;payment Chair methodologies;Encours;bifurcated South Dakota;back-end;99818;46795;true;false;2020-07-12;2020-07-12
2;PNG solid state Designer;Pakistan Rupee proactive reboot;2020-07-12T23:43:56;2020-07-12T17:26:58;2020-07-12T00:45:58;2020-07-12T19:54:39;Fresh back up Pa'anga;Ouvert;Uganda Shilling driver;Reduced;8128;94192;false;false;2020-07-12;2020-07-12
3;Checking Account integrate Re-contextualized;Switchable TCP;2020-07-12T00:38:03;2020-07-12T03:01:13;2020-07-12T13:37:38;2020-07-12T10:57:59;Plastic invoice real-time;Traite;methodical Legacy applications;optimize Concrete;26991;58270;false;true;2020-07-12;2020-07-12
4;Refined transparent;Connecticut;2020-07-12T10:56:05;2020-07-12T05:34:41;2020-07-12T01:10:26;2020-07-12T10:58:08;payment Gorgeous Frozen Bacon;Ouvert;enhance;cutting-edge Plastic Toys;72320;97663;true;false;2020-07-12;2020-07-12
5;Egyptian Pound;Cambridgeshire;2020-07-12T03:58:11;2020-07-12T17:34:59;2020-07-12T17:00:40;2020-07-12T17:31:10;Radial experiences;Ouvert;Maryland Designer;coherent;86184;29019;false;false;2020-07-12;2020-07-12
6;auxiliary Plastic Soft;Mouse Orchestrator Quality;2020-07-12T15:45:53;2020-07-12T11:06:58;2020-07-12T08:06:39;2020-07-12T08:29:11;deposit;Traite;vortals Investor;Chicken;74390;60690;false;true;2020-07-12;2020-07-12
7;Poland hacking;Ergonomic Romania;2020-07-12T10:07:38;2020-07-12T16:22:17;2020-07-12T10:14:55;2020-07-12T19:43:35;calculate;Encours;Supervisor Unbranded;revolutionize functionalities;20050;99951;false;false;2020-07-12;2020-07-12
8;bifurcated Norway;District Mouse;2020-07-12T22:07:04;2020-07-12T04:53:33;2020-07-12T19:06:45;2020-07-12T12:24:17;microchip;Traite;Platinum multi-byte;optical;98117;43746;false;false;2020-07-12;2020-07-12
9;Principal Outdoors Computers;THX;2020-07-12T15:51:19;2020-07-12T21:38:40;2020-07-12T22:54:56;2020-07-12T22:54:32;infrastructure Chips website;Traite;Soap;withdrawal scalable Jordanian Dinar;90621;84566;true;true;2020-07-12;2020-07-12
10;matrix haptic;Ergonomic Keyboard;2020-07-12T03:34:46;2020-07-12T02:49:53;2020-07-12T20:21:09;2020-07-12T03:13:49;Buckinghamshire;Traite;neural Metal;Rubber;9485;61561;true;true;2020-07-12;2020-07-12
