id;libelle;description;nombre_piece_jointe;date_bordereaux
1;Persevering motivating;cross-media alarm Avon;56499;2020-07-12
2;Awesome Fresh Computer Personal Loan Account Checking Account;Integration Liberia Denar;40730;2020-07-12
3;paradigms Dynamic;Money Market Account Administrator FTP;94898;2020-07-12
4;Sleek Sharable Producer;Executive PCI Salad;4390;2020-07-12
5;Designer reinvent;leading edge Technician generate;65436;2020-07-12
6;Designer Vision-oriented bandwidth;Health;19422;2020-07-12
7;teal Saint Helena Pound Rwanda Franc;collaboration;5843;2020-07-12
8;Chad Cross-platform;Uganda Customer;56129;2020-07-12
9;multi-state models Home Loan Account;Direct Avon;52143;2020-07-12
10;Borders Soft;orchid;30665;2020-07-12
