id;libelle;code;chemin
1;Awesome Cotton Chicken Mississippi;Direct encompassing Strategist;Regional Alabama Generic Frozen Towels
2;SSL Money Market Account;Borders Credit Card Account;ADP Orchestrator
3;Sports Borders;hierarchy;Customizable
4;New Hampshire UIC-Franc;matrix;Avon
5;Unbranded Wooden Keyboard Human flexibility;Crescent Taka;payment B2C
6;Buckinghamshire;synergistic invoice Tactics;backing up
7;Wyoming FTP;Loop South Carolina;Senegal
8;Pike next-generation Music;Licensed calculating Mill;Virtual invoice Frozen
9;Alabama;e-tailers Yemeni Rial;copy Arizona Guarani
10;database Infrastructure Assurance;Avon Health virtual;Representative
