id;id_courrier;subject;description;type_courrier;created_at;updated_at;created_by;updated_by;delai;relance;accuse;reponse;date_accuse;date_reponse;status;data;data_content_type;received_at;instruction;expediteur_desc;sent_at;destinataire_desc;destinataire_ville
1;Product;RSS invoice;scalable Movies virtual;Sortie;2020-07-12T02:43:21;2020-07-12T17:30:20;parse;override Peso Uruguayo Uruguay Peso en Unidades Indexadas Outdoors;42328;82767;true;false;2020-07-12;2020-07-12;Encours;../fake-data/blob/hipster.png;image/png;2020-07-12T18:29:10;Wooden transition Cotton;Rustic Rubber Mouse;2020-07-12T16:33:25;web-readiness navigating;Kids Tasty
2;Berkshire;incremental;envisioneer;Arrivee;2020-07-12T11:04:20;2020-07-12T11:33:39;Buckinghamshire Division;Ergonomic;88491;76242;true;true;2020-07-12;2020-07-12;Encours;../fake-data/blob/hipster.png;image/png;2020-07-12T12:57:30;Berkshire real-time XML;invoice olive;2020-07-12T03:34:06;Kids scalable ability;Handcrafted
3;Shores reboot cultivate;Small Cotton Towels wireless Hat;pricing structure reboot Dobra;Sortie;2020-07-12T16:24:55;2020-07-12T06:36:59;initiatives pink capacitor;Internal Steel;62738;29400;true;false;2020-07-12;2020-07-12;Ouvert;../fake-data/blob/hipster.png;image/png;2020-07-12T06:35:23;Rubber capacitor Gibraltar;Steel Vermont;2020-07-12T03:41:05;hack;well-modulated Down-sized Mexican Peso Mexican Unidad de Inversion (UDI)
4;1080p Nepalese Rupee neural;Outdoors initiatives;supply-chains Credit Card Account;Arrivee;2020-07-12T19:05:24;2020-07-12T02:14:28;Kyat Implementation Congolese Franc;methodical;9666;28197;true;false;2020-07-12;2020-07-12;Encours;../fake-data/blob/hipster.png;image/png;2020-07-12T06:10:20;Towels pink feed;HTTP;2020-07-12T22:17:39;mesh withdrawal;deploy Avon Buckinghamshire
5;Buckinghamshire RAM;Senior application transmitting;aggregate Cotton Music;Arrivee;2020-07-12T20:37:59;2020-07-12T21:18:08;XML Factors;Bike Fresh;84351;17772;true;true;2020-07-12;2020-07-12;Encours;../fake-data/blob/hipster.png;image/png;2020-07-12T12:26:33;Jamaican Dollar Research;Trinidad and Tobago Dollar deliverables Chair;2020-07-12T18:31:27;Grocery Intelligent compress;homogeneous
6;Keyboard Designer;Grocery Computers;B2C neural Home Loan Account;Arrivee;2020-07-12T19:57:14;2020-07-12T21:13:21;Rand;synthesizing;40807;23140;false;false;2020-07-12;2020-07-12;Ouvert;../fake-data/blob/hipster.png;image/png;2020-07-12T22:34:34;deposit;pink;2020-07-12T16:00:29;protocol;Direct
7;Direct;Prairie;e-services red;Sortie;2020-07-12T18:11:39;2020-07-12T02:26:24;Berkshire Saint Vincent and the Grenadines;Chips;82666;52319;true;true;2020-07-12;2020-07-12;Encours;../fake-data/blob/hipster.png;image/png;2020-07-12T20:44:49;maroon IB;installation strategize Mouse;2020-07-12T21:32:30;invoice product;tertiary Fantastic Cotton Salad integrate
8;Credit Card Account Exclusive;Table;Robust;Sortie;2020-07-12T16:29:29;2020-07-12T19:40:02;Computers Nebraska User-friendly;microchip;8008;90037;false;false;2020-07-12;2020-07-12;Ouvert;../fake-data/blob/hipster.png;image/png;2020-07-12T22:35:33;Frozen Switzerland Mews;utilize;2020-07-12T07:15:57;Swiss Franc;matrix primary Bedfordshire
9;quantifying user-facing;program SAS info-mediaries;Metal Gibraltar Pound;Arrivee;2020-07-12T18:38:58;2020-07-12T00:34:49;Towels multi-byte;transmitting;69793;40985;false;true;2020-07-12;2020-07-12;Ouvert;../fake-data/blob/hipster.png;image/png;2020-07-12T17:05:16;Jewelery;time-frame;2020-07-12T04:35:14;Shoes Nevada;Fresh clear-thinking Direct
10;National;Chair;invoice user-facing;Arrivee;2020-07-12T15:18:48;2020-07-12T00:46:28;Parkway Global Accounts;redefine attitude-oriented multi-byte;67169;20636;false;false;2020-07-12;2020-07-12;Ouvert;../fake-data/blob/hipster.png;image/png;2020-07-13T00:09:40;holistic;SSL;2020-07-12T02:02:32;Money Market Account Tasty Senior;hacking backing up Books
